job_card_date,BAJAJ_PULSAR_NS_200_DISC_OIL_Weekly_Count
2017-06-11,2
2017-06-18,1
2017-06-25,0
2017-07-02,1
2017-07-09,1
2017-07-16,2
2017-07-23,0
2017-07-30,1
2017-08-06,0
2017-08-13,0
2017-08-20,0
2017-08-27,0
2017-09-03,0
2017-09-10,1
2017-09-17,0
2017-09-24,1
2017-10-01,0
2017-10-08,0
2017-10-15,1
2017-10-22,0
2017-10-29,0
2017-11-05,0
2017-11-12,2
2017-11-19,0
2017-11-26,0
2017-12-03,0
2017-12-10,0
2017-12-17,0
2017-12-24,1
2017-12-31,1
2018-01-07,0
2018-01-14,0
2018-01-21,0
2018-01-28,1
2018-02-04,0
2018-02-11,1
2018-02-18,0
2018-02-25,1
2018-03-04,1
2018-03-11,2
2018-03-18,2
2018-03-25,2
2018-04-01,3
2018-04-08,1
2018-04-15,1
2018-04-22,2
2018-04-29,1
2018-05-06,2
2018-05-13,1
2018-05-20,0
2018-05-27,1
2018-06-03,0
2018-06-10,0
2018-06-17,0
2018-06-24,0
2018-07-01,0
2018-07-08,0
2018-07-15,1
2018-07-22,0
2018-07-29,0
2018-08-05,0
2018-08-12,1
2018-08-19,5
2018-08-26,0
2018-09-02,4
2018-09-09,1
2018-09-16,2
2018-09-23,3
2018-09-30,0
2018-10-07,2
2018-10-14,2
2018-10-21,0
2018-10-28,0
2018-11-04,1
2018-11-11,0
2018-11-18,0
2018-11-25,2
2018-12-02,3
2018-12-09,2
2018-12-16,3
2018-12-23,3
2018-12-30,2
2019-01-06,5
