job_card_date,BAJAJ_PULSAR_220_ENGINE_OIL_Weekly_Count
2017-06-04,6
2017-06-11,2
2017-06-18,4
2017-06-25,5
2017-07-02,2
2017-07-09,4
2017-07-16,5
2017-07-23,3
2017-07-30,5
2017-08-06,5
2017-08-13,5
2017-08-20,2
2017-08-27,5
2017-09-03,2
2017-09-10,3
2017-09-17,8
2017-09-24,4
2017-10-01,3
2017-10-08,5
2017-10-15,7
2017-10-22,2
2017-10-29,0
2017-11-05,5
2017-11-12,5
2017-11-19,3
2017-11-26,2
2017-12-03,3
2017-12-10,4
2017-12-17,3
2017-12-24,4
2017-12-31,4
2018-01-07,3
2018-01-14,5
2018-01-21,5
2018-01-28,4
2018-02-04,3
2018-02-11,4
2018-02-18,3
2018-02-25,3
2018-03-04,4
2018-03-11,6
2018-03-18,1
2018-03-25,5
2018-04-01,5
2018-04-08,4
2018-04-15,4
2018-04-22,1
2018-04-29,5
2018-05-06,5
2018-05-13,2
2018-05-20,2
2018-05-27,4
2018-06-03,4
2018-06-10,6
2018-06-17,3
2018-06-24,4
2018-07-01,5
2018-07-08,9
2018-07-15,3
2018-07-22,2
2018-07-29,2
2018-08-05,2
2018-08-12,2
2018-08-19,4
2018-08-26,3
2018-09-02,1
2018-09-09,6
2018-09-16,6
2018-09-23,1
2018-09-30,6
2018-10-07,9
2018-10-14,5
2018-10-21,6
2018-10-28,4
2018-11-04,1
2018-11-11,1
2018-11-18,2
2018-11-25,1
2018-12-02,1
2018-12-09,12
2018-12-16,9
2018-12-23,5
2018-12-30,6
2019-01-06,6
